%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,3.98E-13,1.29E-12,0.47,-2.13E-14,2.49E-14,-8.25E-15,1,1.25E-13,4.07E-13,-1.95E-15,-1.33E-14,1.76E-14,-3.14E-15,3.09E-15,2.06E-14,-1.06E-16,-8.45E-16,1.11E-15,-1.91E-16,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.729116686,-0.8074295831,78.19572309,1.729810566,0.7995239025,50.71269116,1.711724189,0.9873444285,50.71269116,-1.712418069,-0.9794387479,78.19572309,1,1,1,1
2501000,2500000,1.63E-08,6.25E-09,0.4699998627,-1.43E-08,-3.88E-09,-1.43E-08,1,1.95E-05,7.49E-06,-0.000164177742,-3.43E-05,-9.21E-06,-3.41E-05,0.01558823763,0.005983570848,-0.1304405909,-0.02731402899,-0.00721982588,-0.02706526167,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.723824282,-0.8036380264,78.51171437,1.435893635,0.6760590943,48.88175754,1.475426122,0.9689310123,48.89498785,-1.709678145,-0.9749471049,78.54826156,1,1,1,1
5001000,5000000,1.30E-07,4.99E-08,0.469998913,-1.14E-07,-3.01E-08,-1.13E-07,1,7.79E-05,2.99E-05,-0.0006476949406,-0.0001358314283,-3.54E-05,-0.0001342515163,0.03109651923,0.01191924783,-0.2554715653,-0.05374159828,-0.01355057049,-0.05284077318,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.682718397,-0.7824059729,78.73983938,1.154253794,0.5560284639,47.16125668,1.247351363,0.9436566822,47.1901303,-1.659820037,-0.9409121306,78.99274587,1,1,1,1
7501000,7500000,4.38E-07,1.68E-07,0.4699963694,-3.81E-07,-9.84E-08,-3.76E-07,1,0.0001749179208,6.70E-05,-0.001437027555,-0.0003022965038,-7.62E-05,-0.0002972293635,0.04652484481,0.01780703095,-0.3750929231,-0.07928272294,-0.01899216958,-0.07732655065,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.607673738,-0.7446807796,78.88440354,0.8846518148,0.4393682734,45.54883559,1.02734727,0.9116947916,45.59575229,-1.565146988,-0.8788586237,79.52078669,1,1,1,1
10001000,10000000,1.04E-06,3.97E-07,0.4699914843,-8.96E-07,-2.26E-07,-8.81E-07,1,0.0003104321523,0.0001188731863,-0.002518651543,-0.0005315063565,-0.0001295780402,-0.0005198095106,0.06187321436,0.02364692019,-0.4893046645,-0.1039374239,-0.02354452311,-0.1005226175,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.500565013,-0.6914098038,78.94971228,0.6268484707,0.3260147849,44.04214132,0.8152611989,0.8732186936,44.1094876,-1.427962243,-0.7903113828,80.12399468,1,1,1,1
12501000,12500000,2.02E-06,7.74E-07,0.4699835438,-1.73E-06,-4.27E-07,-1.70E-06,1,0.0004842173626,0.0001852404589,-0.003879042864,-0.0008212449562,-0.0001932033723,-0.0007987677157,0.07714162789,0.02943891558,-0.5981067894,-0.1277057244,-0.0272075011,-0.1224290019,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.363266928,-0.6235404027,78.94007103,0.3806045343,0.2159042603,42.6388209,0.6109405087,0.8284017417,42.72897001,-1.250569045,-0.6767952066,80.79398049,1,1,1,1
15001000,15000000,3.49E-06,1.34E-06,0.469971868,-2.97E-06,-7.12E-07,-2.90E-06,1,0.0006960736617,0.0002660278526,-0.005504677476,-0.001169296331,-0.0002648742713,-0.00113087981,0.09233008539,0.03518301709,-0.7014992978,-0.1505876472,-0.02998094917,-0.1430457339,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.197654191,-0.5420199333,78.8597852,0.1456807781,0.1089729617,41.33652138,0.4142325564,0.7774172891,41.45183331,-1.03527064,-0.5398348939,81.52235481,1,1,1,1
17501000,17500000,5.53E-06,2.12E-06,0.4699558107,-4.68E-06,-1.09E-06,-4.55E-06,1,0.0009458011595,0.0003611156328,-0.007382031339,-0.00157344456,-0.000342366699,-0.0015129217,0.1074385869,0.04087922474,-0.7994821897,-0.1725832112,-0.03186469381,-0.1623728434,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-1.005601509,-0.447795753,78.71316024,-0.07816202517,0.005157151013,40.13288977,0.2249846996,0.720438689,40.27571129,-0.7843702704,-0.3809552432,82.30072827,1,1,1,1
20001000,20000000,8.25E-06,3.15E-06,0.4699347594,-6.93E-06,-1.57E-06,-6.70E-06,1,0.001233199966,0.0004703840648,-0.009497580411,-0.002031473765,-0.0004234561648,-0.001941669364,0.1224671323,0.04652753853,-0.8920554651,-0.1936924292,-0.03285854747,-0.1804103575,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-0.7889835899,-0.3418152188,78.50450155,-0.2911631029,-0.0956069096,39.02557313,0.04304429591,0.657639295,39.19823771,-0.5001711812,-0.2016810533,83.12071155,1,1,1,1
22501000,22500000,1.17E-05,4.48E-06,0.4699081356,-9.78E-06,-2.15E-06,-9.42E-06,0.9999999999,0.001558070191,0.0005937134139,-0.01183780065,-0.002541168088,-0.0005059176967,-0.002413898844,0.1374157218,0.05212795845,-0.979219124,-0.2139153056,-0.03296231335,-0.1971582989,0.33,0.15,6.44E-14,0,0,0,0,0,0,0.33,-0.15,-1.76E-13,0,0,0,0,0,0,-0.33,0.15,-1.11E-13,0,0,0,0,0,0,-0.33,-0.15,-4.98E-15,0,0,0,0,0,0,-0.549675141,-0.2250256879,78.23811458,-0.4935616823,-0.1933829582,38.01221849,-0.1317412972,0.5891924601,38.21704638,-0.1849766163,-0.003537122786,83.97391532,1,1,1,1
