%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,-6.92326161205e-18,4.25249996037e-18,0.47,2.56460632926e-19,-4.24920286772e-19,2.31219551769e-19,1.0,-1.40626817031e-18,2.84042409843e-19,1.98134665829e-19,1.41868008891e-19,-1.7474630102e-19,1.04189120965e-19,-4.78846698397e-20,3.48737758938e-20,-2.22023295376e-19,9.9267049625e-21,-8.49950799223e-21,8.12534896141e-21,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-3.89146422897,1.00021102685,69.2834852667,-1.98627038271,0.838816407298,59.6249289833,7.93732458409,1.1842348073,59.6249289833,-2.05958997241,-3.02326224145,69.2834852667,1,1,1,1
2501000,2500000,1.46111540506e-08,-4.20770147759e-07,0.469999873264,3.65557295109e-07,-4.7224537873e-08,7.13916689182e-08,1.0,1.76607403362e-05,-0.000503413921324,-0.0001514990721,0.000874729013172,-0.000112774232374,0.00017072528437,0.0143323610165,-0.400314727472,-0.120264573979,0.6956096247,-0.0893158831438,0.1355967062,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-3.99074441432,1.24300798336,87.1606776962,-2.03237348626,2.11471775374,32.4520647844,9.6057778093,9.11910187163,-267.593723814,-1.81803516626,-3.33908826072,86.1608586681,1,1,1,1
5001000,5000000,1.19436341797e-07,-3.33595606227e-06,0.469998997795,2.89837351315e-06,-3.72148911641e-07,5.64986669686e-07,0.999999999996,7.268064882e-05,-0.00198949158943,-0.00059664945139,0.00345718043818,-0.000442059982439,0.000673067184706,0.029887334518,-0.786130997424,-0.234921045752,1.36617804887,-0.173208268882,0.265293911556,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-4.27558059472,1.93817510423,138.511009624,-2.07451895732,3.89232918563,-6.77516724239,10.8972414431,16.1614244516,-568.112208189,-1.12020202986,-4.24819331025,134.83322844,1,1,1,1
7501000,7500000,4.11694147617e-07,-1.11569094307e-05,0.469996656991,9.69397525041e-06,-1.23693469613e-06,1.88609013585e-06,0.99999999995,0.000168116256664,-0.00442198686051,-0.00132143088235,0.00768475242555,-0.000974289296771,0.00149228294742,0.0466649205044,-1.15744880985,-0.343969415318,2.01170629203,-0.251668967034,0.389096937838,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-4.72646620673,3.03587676644,219.912613007,-2.11084385215,6.1270185482,-56.9591184311,11.8285478737,22.3398898707,-842.656054188,-0.00633748632819,-5.69301787759,212.360968935,1,1,1,1
10001000,10000000,9.96244483926e-07,-2.62043665808e-05,0.469992169298,2.2769638689e-05,-2.88676831495e-06,4.42158850531e-06,0.999999999727,0.00030702409508,-0.00776465359076,-0.00231182310948,0.0134948463546,-0.0016958678993,0.0026136467978,0.0646651189759,-1.51426816476,-0.447409682679,2.63219589586,-0.324685236459,0.507013948283,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-5.32389468688,4.48627734695,327.943619804,-2.13948522705,8.77415368668,-117.002140116,12.4165294892,27.6831854525,-1091.95079186,1.48331154123,-7.6160024503,315.804454504,1,1,1,1
12501000,12500000,1.98558859117e-06,-5.07084484807e-05,0.469984888216,4.40643944097e-05,-5.54982153172e-06,8.53997462786e-06,0.999999998977,0.000492460695281,-0.0119812456364,-0.00355380587724,0.0208248679779,-0.00259316475139,0.00402245632039,0.0838879299323,-1.85658906215,-0.545241847833,3.22764879642,-0.392240529666,0.619055373929,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-6.04835947172,6.23954122276,459.182161973,-2.15858013829,11.7891024463,-185.806583631,12.6780186779,32.2199985207,-1316.72195124,3.30849812969,-9.95958751594,442.2240595,1,1,1,1
15001000,15000000,3.49986903783e-06,-8.6808660739e-05,0.469974202294,7.5439033457e-05,-9.43720013726e-06,1.45913797353e-05,0.999999997003,0.000727482588479,-0.0170355168536,-0.00503335893014,0.029612228254,-0.00365250343308,0.00570403744234,0.104333353374,-2.18441150201,-0.637465910781,3.79806720293,-0.454315205073,0.725233369644,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-6.8803539978,8.24583277083,610.206371473,-2.16626564215,15.1272326723,-262.27480031,12.6298478278,35.9790163987,-1517.69506239,5.42897535596,-12.6662135621,588.680158274,1,1,1,1
17501000,17500000,5.66686972041e-06,-0.000136553893605,0.46995953513,0.000118676114277,-1.47428830888e-05,2.29076104915e-05,0.999999992587,0.00101514630589,-0.0228912210985,-0.00673646201264,0.039794343886,-0.00486015526441,0.00764374809398,0.1260013893,-2.49773548436,-0.724081871523,4.34345348329,-0.510887206905,0.825561299852,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-7.80037170166,10.4553163682,777.59438026,-2.16067879492,18.7439122099,-345.309141488,12.2888493271,38.9889264101,-1695.59565535,7.80449629693,-15.6783210762,752.233125178,1,1,1,1
20001000,20000000,8.62201586345e-06,-0.000201902421968,0.469940345376,0.000175479970156,-2.16436542531e-05,3.38021894283e-05,0.999999983798,0.00135850837872,-0.0295121122274,-0.00864909486925,0.0513086375822,-0.00620233408616,0.00982698062076,0.148892037712,-2.79656100918,-0.805089730059,4.8638100561,-0.561932712741,0.920053253937,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-8.78890601985,12.8181563917,957.924320294,-2.13995665288,22.5945089043,-433.811958498,11.671855564,41.2784158786,-1851.14926016,10.3948140295,-18.938350546,929.943334564,1,1,1,1
22501000,22500000,1.25083740195e-05,-0.000284721905359,0.469916126731,0.00024747671682,-3.02990288044e-05,4.7570397164e-05,0.999999967787,0.00176062533818,-0.0368619440965,-0.0107572372444,0.0640925380543,-0.00766519261892,0.0122391630208,0.173005298608,-3.08088807648,-0.880489486389,5.35913928941,-0.607426748712,1.00872359135,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-9.82645038891,15.2845172185,1147.77432353,-2.1022362723,26.6343906008,-526.685602675,10.7956989267,42.8761721276,-1985.08140688,13.1596816305,-22.3887424589,1118.87116078,1,1,1,1
