%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,3.00E-06,-2.12E-06,0.4699689442,-2.90E-07,1.05E-07,1.20E-07,1,6.71E-07,-3.91E-07,-2.27E-06,-5.16E-08,4.38E-08,2.41E-08,3.31E-08,-4.07E-08,-5.36E-08,-1.04E-09,2.12E-09,8.69E-10,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,-0.05665689634,0.1151541095,64.61368157,0.06434690877,-0.1126683317,64.29590314,0.0621281812,-0.1465896347,64.29289749,-0.06981702285,0.1441020449,64.6143453,1,1,1,1
2501000,2500000,2.93E-06,-2.02E-06,0.4699688306,-3.74E-07,7.86E-08,1.23E-07,1,-7.83E-05,0.0001271499006,-0.0001313479354,-0.0002009497912,-6.29E-05,7.21E-06,-0.06261514158,0.1013900791,-0.1024531296,-0.1597412341,-0.04994747449,0.005706943994,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,2.32E-07,0.08894293084,67.19989778,-3.429928307,-0.205193831,-87.01736029,-2.667517838,1.340674629,-40.57970586,-0.003037789176,0.09821424971,67.06845826,1,1,1,1
5001000,5000000,2.48E-06,-1.28E-06,0.4699680791,-9.56E-07,-1.03E-07,1.44E-07,1,-0.0003096674766,0.0005033464623,-0.0005104689334,-0.0007938712926,-0.000247572671,2.83E-05,-0.1219454583,0.1989245645,-0.2000311615,-0.313618665,-0.09734990847,0.01114761909,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,0.1633198322,0.0117509976,74.67891789,-6.715987942,-0.1849254059,-226.7521198,-5.125038224,2.751079379,-137.6993794,0.1895925648,-0.03555724736,74.15473843,1,1,1,1
7501000,7500000,1.26E-06,7.01E-07,0.46996608,-2.52E-06,-5.88E-07,1.99E-07,1,-0.000685272291,0.001118559695,-0.001127441206,-0.001764156594,-0.0005475494696,6.27E-05,-0.177990917,0.2926034156,-0.2927341493,-0.4616322694,-0.1422073787,0.016321338,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,0.4239616942,-0.1140322541,86.62216428,-9.797681838,-0.0568625446,-355.2158323,-7.317873684,4.085743971,-227.263638,0.4965130184,-0.2513746135,85.45909771,1,1,1,1
10001000,10000000,-1.06E-06,4.51E-06,0.4699622539,-5.52E-06,-1.52E-06,3.06E-07,1,-0.00119688468,0.001963150512,-0.001970077143,-0.003097146087,-0.0009564888625,0.000109720295,-0.2307515177,0.3824266323,-0.380562093,-0.6037820103,-0.1845200076,0.02122703749,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,0.7725856094,-0.2860173883,102.6010593,-12.67885984,0.1739952649,-472.7159546,-9.253464926,5.345787761,-309.4699967,0.9061625512,-0.5434000161,100.567448,1,1,1,1
12501000,12500000,-4.83E-06,1.07E-05,0.4699560517,-1.04E-05,-3.02E-06,4.78E-07,0.9999999999,-0.001836292498,0.003027479827,-0.003026189135,-0.004778180054,-0.001468028937,0.0001686395589,-0.2802272605,0.4683942146,-0.4635149927,-0.7400678407,-0.2242879534,0.02586334737,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,1.199851369,-0.5018149688,122.1870253,-15.36337178,0.5026485343,-579.5599435,-10.93925266,6.532330104,-384.5159705,1.406980143,-0.9057956222,119.0657013,1,1,1,1
15001000,15000000,-1.03E-05,1.98E-05,0.4699469552,-1.76E-05,-5.23E-06,7.32E-07,0.9999999998,-0.002595283601,0.004301908556,-0.00428358957,-0.006792598653,-0.002075808215,0.0002388112021,-0.3264181453,0.5505061625,-0.5415928482,-0.8704897063,-0.2615114031,0.03022865547,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,1.696418764,-0.7590355595,144.9514846,-17.85506751,0.9240977757,-676.0552559,-12.38267758,7.646490355,-452.5990744,1.987404772,-1.332723599,140.5397694,1,1,1,1
17501000,17500000,-1.79E-05,3.24E-05,0.4699344762,-2.75E-05,-8.25E-06,1.08E-06,0.9999999996,-0.003465645843,0.005776797611,-0.005730090839,-0.009125741899,-0.002773465714,0.000319555511,-0.3693241721,0.6287624761,-0.6147956596,-0.9950475477,-0.2961905661,0.0343211693,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,2.252947585,-1.055289724,170.4658597,-20.15779686,1.433343501,-762.5093486,-13.59118041,8.689387871,-513.9168232,2.635875418,-1.818346114,164.5755643,1,1,1,1
20001000,20000000,-2.78E-05,4.89E-05,0.4699181573,-4.05E-05,-1.22E-05,1.53E-06,0.9999999991,-0.00443916708,0.007442507908,-0.007353505331,-0.01176294965,-0.003554640994,0.0004101881265,-0.408945341,0.7031631553,-0.683123427,-1.113741303,-0.3283256668,0.03813897444,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,2.860097623,-1.388188027,198.3015728,-22.27540968,2.025386221,-839.2296785,-14.57220186,9.662142008,-568.6667321,3.340831062,-2.356825334,190.7589979,1,1,1,1
22501000,22500000,-4.02E-05,6.97E-05,0.4698975714,-5.70E-05,-1.72E-05,2.11E-06,0.9999999982,-0.005507635166,0.009289400359,-0.009141645437,-0.01468956162,-0.004412974191,0.0005100198087,-0.4452816519,0.7737082002,-0.7465761502,-1.226570909,-0.3579169393,0.04168008969,0.33,0.15,1.10E-05,0,0,0,0,0,0,0.33,-0.15,-7.66E-06,0,0,0,0,0,0,-0.33,0.15,1.74E-06,0,0,0,0,0,0,-0.33,-0.15,6.21E-06,0,0,0,0,0,0,3.50852867,-1.755341032,228.0300464,-24.21175581,2.69522645,-906.5237025,-15.33318262,10.56587212,-617.0463159,4.090710681,-2.942323427,218.6759821,1,1,1,1
