%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,1.054043487e-19,-5.19047640264e-19,0.46,2.06756285246e-20,2.37860910634e-20,2.18927389814e-21,1.0,3.03406279609e-20,-1.30358428533e-19,5.71679410601e-20,1.00471497086e-20,7.29294763622e-21,5.13383581178e-22,1.17386607157e-21,-1.10174271927e-21,-2.23433148903e-20,1.37765350537e-22,2.70222748399e-22,2.4156995622e-23,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.87721234823,0.901011454848,91.5324617822,2.24798860531,-3.0779388764,87.4389007178,-1.90376685763,2.92251395685,87.4389007178,1.53299060055,-0.745586535289,91.5324617822,1,1,1,1
2501000,2500000,1.3967991445e-07,-8.60284793523e-08,0.459999980096,9.56930036523e-08,1.05842556697e-07,-1.79280751788e-08,1.0,0.000167190987844,-0.00010300716538,-2.37183149826e-05,0.000229159321263,0.000253217766073,-4.29442805873e-05,0.133072935082,-0.0820425165574,-0.0187083837804,0.182521240594,0.201287217607,-0.0342224838571,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.79263961207,0.851330791066,90.8602860722,3.25454255941,-4.35931408485,78.9618585525,-1.86622388177,2.87422957449,89.1677146082,2.90805627815,-1.15415924983,85.5194628644,1,1,1,1
5001000,5000000,1.10894112568e-06,-6.83687637979e-07,0.459999844097,7.60505213352e-07,8.38696699858e-07,-1.42593917804e-07,0.999999999999,0.000661965399444,-0.000408396504052,-9.22105778734e-05,0.000908575261475,0.00100000098365,-0.000170448467656,0.262066739005,-0.161905738633,-0.0358191583266,0.36020536459,0.394852297756,-0.0676482963521,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.6145884472,0.741180871065,90.0835990397,4.1836925845,-5.57433079603,70.9141326043,-1.75843239438,2.73569551261,94.1252102918,4.27335332901,-1.55084691264,79.9798823226,1,1,1,1
7501000,7500000,3.71399490822e-06,-2.29212261385e-06,0.45999948506,2.54969967679e-06,2.80345315899e-06,-4.78454031399e-07,0.999999999993,0.0014741254069,-0.000910719779812,-0.000201482765587,0.00202615570892,0.00222104368501,-0.000380524518041,0.386981411769,-0.239589666228,-0.0513323236387,0.533052977873,0.580694683008,-0.100280678083,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.34835613416,0.573841882313,89.2163855355,5.03711853822,-6.72406503621,63.2882311528,-1.58764855572,2.51639039902,101.967968787,5.62759381466,-1.9356160144,74.9018207304,1,1,1,1
10001000,10000000,8.73555796683e-06,-5.39685795444e-06,0.459998806028,6.00342544505e-06,6.58086915373e-06,-1.12748590054e-06,0.99999999996,0.00259347318232,-0.00160452875646,-0.000347540855039,0.0035698105127,0.00389703808634,-0.000671194881778,0.507816953373,-0.315094299341,-0.0652478797167,0.701065035504,0.758813483448,-0.132124742748,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.999239953467,0.352594012275,88.2726304104,5.81650027818,-7.80959283163,56.0766624773,-1.36112852607,2.2257928615,112.352571111,6.96948979663,-2.30843304578,70.2733786611,1,1,1,1
12501000,12500000,1.69288524365e-05,-1.04697976167e-05,0.459997720029,1.16467205621e-05,1.27275656176e-05,-2.18920383827e-06,0.999999999849,0.0040098108978,-0.00248437519778,-0.000526390823142,0.00552745229837,0.00600867379756,-0.00104049688627,0.624573363819,-0.388419637972,-0.0775658265606,0.864242796086,0.929207509341,-0.163187239638,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.572537185671,0.0807174484162,87.2663185152,6.52351766202,-8.83199020853,49.2719348573,-1.08612846571,1.87338152787,124.935598284,8.29775333644,-2.66926449746,66.0826566881,1,1,1,1
15001000,15000000,2.90236058826e-05,-1.79692249671e-05,0.459996150076,1.99895160187e-05,2.17760234809e-05,-3.7606798827e-06,0.999999999556,0.00571294072545,-0.00354481086758,-0.000734038646813,0.00788699717102,0.00853663711271,-0.0014864865369,0.737250643106,-0.459565682122,-0.0882861641703,1.02258777733,1.09187530293,-0.193476324312,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.0735451113018,-0.238507621797,86.2114347007,7.15985054736,-9.79233319315,42.8665565722,-0.7699045349,1.46863502592,139.373631323,9.61109649563,-3.01807686012,62.3177553848,1,1,1,1
17501000,17500000,4.57240513007e-05,-2.83398027815e-05,0.459994029166,3.15266405362e-05,3.42345791089e-05,-5.9365690047e-06,0.999999998899,0.00769266483737,-0.00478038752966,-0.000966490302965,0.0106363653087,0.0114616103787,-0.00200724175455,0.845848791233,-0.52853243179,-0.0974088925459,1.17610171274,1.24681516941,-0.223001337431,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.492438989108,-0.6018010109,85.1219638176,7.72717879184,-10.6916978118,36.8530359015,-0.419712893917,1.02103198346,155.323251246,10.9082313357,-3.35483662444,58.9667753246,1,1,1,1
20001000,20000000,6.77089271165e-05,-4.20125732454e-05,0.459991300283,4.67378260508e-05,5.05874189915e-05,-8.8091379136e-06,0.999999997589,0.00993878540565,-0.0061856569478,-0.00121975176851,0.0137634814488,0.0147642714406,-0.00260086507045,0.950367808202,-0.595319886977,-0.104934011687,1.32478650949,1.39402520697,-0.251772591769,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.12011783502,-1.00588253143,84.0118907168,8.22718225308,-11.5311600906,31.2238811246,-0.0428097030339,0.540051028271,172.441039073,12.1878699183,-3.6795102811,56.0178170809,1,1,1,1
22501000,22500000,9.5631477186e-05,-5.94049579537e-05,0.459987916394,6.60877137716e-05,7.12945737723e-05,-1.24682967735e-05,0.999999995197,0.0124411046024,-0.00775517088581,-0.00148982902037,0.0172562752712,0.0184252931607,-0.00326548579865,1.05080769401,-0.659928047683,-0.110861521595,1.4686442074,1.53350333611,-0.279801167399,0.33,0.19,1.86727305077e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.19,-1.21103842696e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.19,1.480305083e-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.19,-2.98933399179e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.80419414591,-1.44747199591,82.895200249,8.66154078871,-12.3117960559,25.971600521,0.353548877477,0.0351707881666,190.38357582,13.4487243048,-3.99206432076,53.458981227,1,1,1,1
