%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,1.87738056644e-11,-7.58509959067e-11,0.469999999996,1.45777457893e-13,5.5941448457e-13,1.42649352508e-13,1.0,6.1452513484e-13,-2.13945947941e-11,5.65983330814e-13,1.77873039386e-13,7.8262263842e-13,-3.19203119176e-13,4.14771070251e-14,-9.80678806775e-13,-1.25864631973e-13,6.53148438263e-16,1.03422981544e-13,-4.4918679372e-14,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.49633708253,0.0108343182945,72.9508243561,0.35138142991,0.00751484386509,55.9575899012,0.536705239319,0.201882483125,55.9575898287,-0.391749586696,-0.220231645318,72.9508244139,1,1,1,1
2501000,2500000,1.78676886428e-08,1.82702816842e-08,0.469999959145,3.46364971134e-08,1.26172713719e-07,-1.07447341879e-08,1.0,2.14743754574e-05,2.19641484038e-05,-4.88084406107e-05,8.28121208408e-05,0.000301926764957,-2.56984898645e-05,0.0172685860852,0.0174893300753,-0.0387064315034,0.065745503868,0.240123164545,-0.0204160576077,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.484929305353,0.0116658318512,72.8868387143,0.356400166087,0.00959257840017,55.7387556564,0.543939130456,0.204793553506,55.7992809668,-0.36294795235,-0.210076389103,72.9649691866,1,1,1,1
5001000,5000000,1.43923660922e-07,1.45668459322e-07,0.469999677443,2.73939776952e-07,1.00051373843e-06,-8.50668656207e-08,0.999999999999,8.67883620958e-05,8.70366001602e-05,-0.000191830549762,0.000326206656025,0.00119352456233,-0.000101366938615,0.0350716894365,0.0344866255653,-0.0753709343802,0.128465980793,0.47173681319,-0.0399761250006,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.451670312969,0.0140912195558,72.7000378708,0.366492535324,0.015506255655,55.5041615758,0.55910980857,0.211943575221,55.6504135558,-0.278999844444,-0.180477431735,73.0060160362,1,1,1,1
7501000,7500000,4.89456086589e-07,4.88351778728e-07,0.469998925735,9.13911586705e-07,3.34681625527e-06,-2.84091821794e-07,0.999999999994,0.000197278253695,0.000193987247409,-0.000423961505323,0.000722621517814,0.00265351947334,-0.000224866904406,0.0534093100539,0.050991886469,-0.109993508631,0.188161857263,0.694840830679,-0.0586815647292,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.3980066141,0.0180067519602,72.3981559484,0.381472889825,0.0251111791909,55.2547233566,0.581935999443,0.223179458349,55.5108901601,-0.143590455676,-0.132734990126,73.0718837599,1,1,1,1
10001000,10000000,1.1690750945e-06,1.14947812055e-06,0.469997487632,2.14110171078e-06,7.86228027191e-06,-6.66274669521e-07,0.999999999967,0.00035428034342,0.000341586003683,-0.000740096485726,0.00126449599028,0.00466063720988,-0.000394064313709,0.0722814479374,0.0670051127863,-0.142574154254,0.244833797936,0.909435039476,-0.0765344866846,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.325384717466,0.0233086996161,71.98892707,0.401155581798,0.038262652569,54.9913566964,0.612136428857,0.238348112971,55.3806133444,0.0395950212546,-0.0681492811911,73.160491155,1,1,1,1
12501000,12500000,2.30073154643e-06,2.22913014928e-06,0.469995159503,4.13261017862e-06,1.5217512629e-05,-1.28740655843e-06,0.999999999875,0.000559130924437,0.000528602782518,-0.00113513066941,0.00194427127721,0.00719360297459,-0.000606831163822,0.0916881030869,0.0825263045173,-0.173112871252,0.298482667721,1.11551921162,-0.0935376161089,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.235251131789,0.0298933330756,71.4800853583,0.425354963449,0.0548159793505,54.7149772925,0.649429822594,0.257296449166,55.2594856732,0.26687139365,0.0119794781564,73.2697570186,1,1,1,1
15001000,15000000,4.00571703707e-06,3.82431531322e-06,0.469991750483,7.05608994838e-06,2.60565262882e-05,-2.20062325586e-06,0.999999999633,0.00081316628991,0.000753807497448,-0.0016039592348,0.00275439095687,0.010231141349,-0.000861046902129,0.111629275503,0.097555461662,-0.201609659622,0.349109495372,1.31309308002,-0.109694167237,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.129052365789,0.0376569228904,70.8793649363,0.453885386984,0.0746264630967,54.4265008424,0.693534906437,0.279871377015,55.1474097112,0.534553468812,0.106351071003,73.3976001481,1,1,1,1
17501000,17500000,6.408663894e-06,6.02896584454e-06,0.469987082466,1.1069750097e-05,4.09967394953e-05,-3.45641524365e-06,0.999999999092,0.001117722733,0.00101597006201,-0.00214147736033,0.00368730134773,0.0137519762092,-0.0011545994965,0.132104965184,0.11209258422,-0.228064519367,0.396715438594,1.50215634918,-0.125007722569,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.00823492818867,0.0464957396125,70.1944999268,0.486561204608,0.0975494073689,54.1268430435,0.744170406169,0.305919806596,55.044288023,0.838956054042,0.213665280434,73.5419393407,1,1,1,1
20001000,20000000,9.63754517775e-06,8.93393875922e-06,0.469980990109,1.63223594064e-05,6.06289748509e-05,-5.10263900751e-06,0.999999998016,0.00147413654689,0.00131386038973,-0.00274258022444,0.00473545178878,0.0177348306677,-0.00148538621089,0.153115172132,0.126137672192,-0.252477450485,0.441301750659,1.68270870538,-0.139482117775,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.125754672292,0.0563060537936,69.4332244526,0.523196768529,0.123440115728,53.8169195932,0.801055047572,0.335288647991,54.950023173,1.17639395664,0.332621889536,73.7006933936,1,1,1,1
22501000,22500000,1.38236746817e-05,1.26270158571e-05,0.469973320832,2.29532502398e-05,8.55174583186e-05,-7.18452916704e-06,0.999999996054,0.00188374402472,0.00164624839415,-0.00340216300556,0.00589129483828,0.0221584270399,-0.00185131410032,0.174659896346,0.139690725578,-0.274848452976,0.482869748537,1.85474982621,-0.153121332231,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.271469926933,0.0669841359856,68.6032726366,0.563606430952,0.152153891736,53.497646189,0.863907556427,0.367824811278,54.864517726,1.54318198391,0.461920681397,73.8717811041,1,1,1,1
25001000,24999999,1.91017069323e-05,1.71929037218e-05,0.469963934815,3.10923226079e-05,0.000116199818199,-9.74471111236e-06,0.999999992718,0.00234788145967,0.0020119039888,-0.00411512088213,0.00714728639479,0.027001486834,-0.0022503002391,0.196739137826,0.152751744377,-0.295177526841,0.521420782558,2.01827938964,-0.165929385185,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.427464327011,0.0784262567404,67.7123786015,0.607604544083,0.183546038953,53.1699385282,0.932446658518,0.403375206538,54.7876742465,1.93563494316,0.6002614391,74.0531212694,1,1,1,1
27501000,27499999,2.56096371887e-05,2.27132337209e-05,0.469952705002,4.08600483285e-05,0.000153187084097,-1.28232138303e-05,0.99999998735,0.0028678851449,0.00240959708721,-0.00487634903258,0.00849588574424,0.0322427307621,-0.00268027169664,0.219352896572,0.16532072859,-0.313464672079,0.556956207624,2.17329708245,-0.177910237553,0.33,0.15,1.20003054679e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-3.96875618463e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,3.28218745214e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-2.70468332424e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.592291363806,0.0905286866098,66.7682764703,0.655005460129,0.217471860941,52.8347123084,1.00639107963,0.44178674385,54.7193952991,2.35006764168,0.746343945734,74.2426326867,1,1,1,1
