%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,-8.55672098517e-11,3.21660296443e-11,0.470000000015,2.09133790644e-13,-3.37714578131e-13,-2.88732942106e-13,1.0,-1.64677034014e-11,-2.07435495549e-12,2.3520431471e-12,4.77730976582e-14,-7.21951873328e-13,6.95048891279e-14,2.81439893145e-13,-1.28738805982e-12,1.27408294095e-13,1.64444944481e-14,2.88422033304e-14,1.42416735337e-14,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.672454585127,-0.756069439647,72.0647424104,0.956408622102,0.734535516588,56.8436718062,0.625079954486,0.334329366221,56.8436718674,-0.90903399143,-0.312795443228,72.0647424161,1,1,1,1
2501000,2500000,-1.95627633999e-09,1.92981980227e-08,0.469999820373,-2.26774410656e-08,-2.21743507854e-08,9.76412358091e-08,1.0,-2.08592772631e-06,2.3092165191e-05,-0.000214853721501,-5.43775657572e-05,-5.28782224027e-05,0.000233696047412,-0.00141450453547,0.0184304100521,-0.170737035276,-0.0434239768934,-0.0417595295122,0.185927058769,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.665854487341,-0.748104928735,71.9816624372,0.966979303455,0.742714401631,56.7525075993,0.632298810177,0.337238411378,56.7497291237,-0.871844415607,-0.299073047557,72.0823102722,1,1,1,1
5001000,5000000,-1.18731873428e-08,1.53618906087e-07,0.469998577206,-1.80932978475e-07,-1.73998431039e-07,7.74695778169e-07,1.0,-5.8014167866e-06,9.1935429379e-05,-0.000847955454998,-0.000216729350183,-0.000206082575517,0.000924486361338,-0.00130366224107,0.0366008775367,-0.334598407716,-0.0863792989406,-0.0802609876974,0.365675395021,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.646566892057,-0.724830097936,71.7388040409,0.989259394317,0.757546359624,56.6440609728,0.648149443445,0.34259487106,56.6362190058,-0.763094161479,-0.258945501675,72.1336445713,1,1,1,1
7501000,7500000,-2.91435358783e-08,5.16559712001e-07,0.46999524638,-6.09001609319e-07,-5.75789822351e-07,2.59287684992e-06,0.999999999996,-7.3331165732e-06,0.000205879934067,-0.00188211604105,-0.00048588298647,-0.000451468696326,0.00205692395785,0.000332526883486,0.0545114024525,-0.491584117319,-0.128865321621,-0.115505103217,0.539244850763,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.615360846388,-0.687173000156,71.345739506,1.02280596429,0.778774034872,56.5191223902,0.672288112685,0.350298728175,56.5040967336,-0.587010939052,-0.193972267282,72.2166914093,1,1,1,1
10001000,10000000,-4.35411399179e-08,1.22006139649e-06,0.469988846735,-1.43965186827e-06,-1.33768667374e-06,6.09458894818e-06,0.999999999979,-2.86766001071e-06,0.000364275822834,-0.00330014632256,-0.000860664079745,-0.000780894605551,0.00361556134561,0.0034940628382,0.0721619847995,-0.641694164085,-0.170881082507,-0.147493049127,0.706635180641,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.573005397448,-0.636061688299,70.8120411173,1.06717608297,0.806140071678,56.3784823154,0.704371076293,0.360249965635,56.3543175268,-0.347822458335,-0.10571280608,72.3293968821,1,1,1,1
12501000,12500000,-3.53063997447e-08,2.37444009922e-06,0.469978440082,-2.80418257801e-06,-2.55965166664e-06,1.18029268125e-05,0.999999999923,1.14083199762e-05,0.000566473239257,-0.00508485714245,-0.001339895527,-0.00118622177573,0.00558495032637,0.00818094562306,0.0895526245777,-0.784928548015,-0.212425392328,-0.176226408068,0.86784606698,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.52026959235,-0.57242421527,70.1472811595,1.12192681996,0.839387114345,56.2229312118,0.744054592665,0.372348566349,56.187836605,-0.0497564293359,0.00427342023133,72.4697070855,1,1,1,1
15001000,15000000,2.48537020466e-08,4.08838731881e-06,0.469963131206,-4.83241904783e-06,-4.33147689573e-06,2.02216744732e-05,0.999999999774,3.93081904631e-05,0.000811822326915,-0.00721905934361,-0.00192239705918,-0.00165931611228,0.00794964183269,0.0143931752381,0.106683321787,-0.921287269109,-0.25349692158,-0.201707138063,1.02287713449,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.457922478205,-0.497188633974,69.3610319172,1.18661524486,0.878257807178,56.0532595433,0.790994920196,0.386494513226,56.005609188,0.302959437936,0.134426949953,72.6355681156,1,1,1,1
17501000,17500000,1.7576560055e-07,6.46896991281e-06,0.469942067866,-7.65270876506e-06,-6.73278988771e-06,3.18353041428e-05,0.999999999441,8.46453185251e-05,0.00109967322939,-0.00968556376896,-0.00260698499422,-0.00219204884985,0.0106941858019,0.0221307516833,0.123554076428,-1.05077032737,-0.294094282695,-0.223937538923,1.17172796466,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.386733102128,-0.411282997317,68.4628656751,1.26079842726,0.922494794478,55.8702577734,0.844848317282,0.402587789178,55.8085904956,0.706097433474,0.283188321384,72.8249260683,1,1,1,1
20001000,20000000,4.65789148548e-07,9.62163009772e-06,0.469914440793,-1.13919168192e-05,-9.83306064418e-06,4.71089750005e-05,0.999999998777,0.000151233071238,0.00142937609025,-0.0124671812614,-0.00339247219001,-0.00277629736545,0.0138031310855,0.0313936749586,0.140164888499,-1.17337772279,-0.334216107749,-0.242920219267,1.31439810975,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.307470511231,-0.315635358204,67.4623547179,1.34403343678,0.971840720551,55.6747163658,0.905271042318,0.420528377113,55.5977357474,1.15542984727,0.448998072824,73.0357270394,1,1,1,1
22501000,22500000,9.52817616511e-07,1.3650185449e-05,0.46987948369,-1.6175421285e-05,-1.36916095967e-05,6.648853192e-05,0.999999997565,0.000242884815677,0.00180028105307,-0.0155467226639,-0.00427766818589,-0.00340394590986,0.0172610253938,0.0421819450641,0.156515758002,-1.28910945537,-0.373861121716,-0.258658064163,1.45088710656,0.33,0.15,-2.31124645116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-1.43975534084e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.69248417001e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.57307479288e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.220903752628,-0.21117376954,66.3690713303,1.43587734301,1.0260382297,55.4674257842,0.971919353699,0.440216259942,55.3740001632,1.64672896931,0.630296742574,73.265917125,1,1,1,1
