%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,-1.39040843201e-09,-1.12619182409e-08,0.47000000049,6.79559312282e-12,2.31150321577e-13,5.07933656683e-11,1.0,-2.03639585603e-10,-3.07632991179e-09,1.89264362805e-10,3.86898703615e-12,-3.08963085474e-12,3.0319130536e-11,1.55539791676e-11,-7.452793594e-11,1.70221239231e-11,-6.213016204e-12,1.59157058722e-12,1.48404917889e-12,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.69414737308,2.28730397463,77.2320606328,-0.187594785056,-2.65039216222,51.6763530737,0.895353362283,-0.214511777613,51.6763439399,0.986388796901,0.577599963935,77.2320708543,1,1,1,1
2501000,2500000,8.9859073441e-10,-1.33255738922e-08,0.469999955289,-1.51932220907e-08,-1.82251923794e-08,2.67868073596e-08,1.0,2.79870522593e-06,-2.43485792265e-06,-5.40710460286e-05,-3.63869444434e-05,-4.34773720552e-05,6.4003318057e-05,0.00232152542327,-0.00188882343031,-0.0429835384747,-0.0289605885712,-0.0343600747565,0.0509417418496,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.67685297181,2.29233335427,77.1940197081,-0.182919019984,-2.6477156033,51.4292823964,0.900606741672,-0.210075516312,51.4952892299,0.982855352404,0.577971199488,77.2301077427,1,1,1,1
5001000,5000000,1.79546186287e-08,-2.70174954536e-08,0.469999642295,-1.20662302663e-07,-1.43166764172e-07,2.12308120588e-07,1.0,1.20194152088e-05,-9.16418463473e-06,-0.000213550254225,-0.000144058053489,-0.000169691304947,0.000253404277693,0.0051374409094,-0.00343803617001,-0.0843263783061,-0.057027311403,-0.0661892660427,0.100318127623,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.62680488424,2.31117100853,77.1316739151,-0.177995904293,-2.64384449236,51.1922103053,0.904038006978,-0.20965107663,51.3223812967,0.972752378159,0.577935290156,77.2464295081,1,1,1,1
7501000,7500000,6.73771470393e-08,-6.20202625484e-08,0.469998803116,-4.04108915271e-07,-4.74290741029e-07,7.10915917099e-07,1.0,2.88979015049e-05,-1.93420299259e-05,-0.000474335688676,-0.000320778493384,-0.000372314739122,0.00056428942327,0.00844774647395,-0.00464763829362,-0.124028519477,-0.0842000220871,-0.09548770407,0.14812907243,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.54512447996,2.34334294789,77.0458988211,-0.172836810337,-2.6387963944,50.9649935552,0.905684057149,-0.213134647832,51.1575056635,0.956410175406,0.577497579782,77.2801865637,1,1,1,1
10001000,10000000,1.69855585745e-07,-1.25893888449e-07,0.469997189613,-9.50447715759e-07,-1.1031547955e-06,1.67201936976e-06,0.999999999998,5.46701393105e-05,-3.21193672561e-05,-0.000832325602728,-0.000564312971744,-0.000645021033871,0.000992744998732,0.0122524421169,-0.00551762980114,-0.162089961988,-0.110478500344,-0.122255594592,0.194374446743,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.4329331286,2.3883751828,76.9375699932,-0.16745311047,-2.63258887444,50.7474889007,0.905581791129,-0.220422419185,51.0005478535,0.934159045383,0.576663412207,77.3305293229,1,1,1,1
12501000,12500000,3.49169282513e-07,-2.24075820078e-07,0.469994563902,-1.84179885113e-06,-2.11340865648e-06,3.24013524497e-06,0.999999999991,9.05721038216e-05,-4.66471700849e-05,-0.00128341824973,-0.000872425573474,-0.000981484147541,0.00153485687859,0.0165515278383,-0.00604801069258,-0.198510705839,-0.135862471451,-0.146493209571,0.239054086124,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.29135219974,2.44579372374,76.8075629988,-0.161856177045,-2.6252394975,50.5395530965,0.903768107864,-0.231410579955,50.8513933897,0.906329289331,0.575438131276,77.396608199,1,1,1,1
15001000,15000000,6.32187523104e-07,-3.59880938006e-07,0.469990698354,-3.15748708262e-06,-3.58079495676e-06,5.55488740428e-06,0.999999999973,0.000137839770234,-6.20764118722e-05,-0.00182351188304,-0.00124287964803,-0.00137537879171,0.00218671049227,0.0213450036381,-0.00623878096793,-0.23329075103,-0.160351624797,-0.168200878151,0.282167800442,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.121503063,2.51512458115,76.656753405,-0.156057382417,-2.61676582859,50.3410428973,0.900279906299,-0.245995319408,50.7099277953,0.873251208488,0.57382708083,77.4775736054,1,1,1,1
17501000,17500000,1.04886953127e-06,-5.34501556454e-07,0.469985375594,-4.97404078176e-06,-5.57315025949e-06,8.751006234e-06,0.999999999934,0.000197709113744,-7.75580660778e-05,-0.002448504756,-0.00167343774201,-0.00182038056319,0.00294439077091,0.0266328695164,-0.00608994062719,-0.26643009756,-0.183945631563,-0.187378977934,0.323715382612,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.92450708798,2.5958937655,76.4860167791,-0.150068098938,-2.60718543273,50.1518150577,0.895154085381,-0.264072826808,50.5760365934,0.835255104094,0.571835604713,77.5725759554,1,1,1,1
20001000,20000000,1.63226446874e-06,-7.47007423293e-07,0.469978388499,-7.36519085094e-06,-8.15040623605e-06,1.2958328032e-05,0.999999999856,0.000271416109548,-9.22431061614e-05,-0.00315429512196,-0.00216186157478,-0.00231016605454,0.00380398211539,0.032415125473,-0.00560148967036,-0.29792874543,-0.206644161541,-0.204027926565,0.363696616829,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.701485644281,2.68762728727,76.2962286882,-0.143899698962,-2.59651587494,49.9717263325,0.888427544053,-0.285539291424,50.4496053072,0.792671277389,0.569469046768,77.6807656624,1,1,1,1
22501000,22500000,2.41851143525e-06,-9.94345720043e-07,0.469969540205,-1.04018696174e-05,-1.13645909694e-05,1.83017943792e-05,0.999999999714,0.000360196732841,-0.000105282505583,-0.00393678123426,-0.00270591205519,-0.00283841294403,0.00476156838427,0.0386917715081,-0.00477342809745,-0.32778669464,-0.228446899078,-0.218148173615,0.402111286307,0.33,0.15,-1.08191067621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,8.79292523218e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,5.60163493609e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.77726255173e-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.453560101508,2.7898511569,76.0882646997,-0.137563554843,-2.58477472022,49.8006334764,0.880137181263,-0.310290902519,50.3305194596,0.745830029611,0.566732750836,77.8012931397,1,1,1,1
