%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,-0.000133276177576,0.000172957375122,0.470144346597,2.87244170677e-07,1.31223450656e-06,-3.52202719184e-06,0.999999999993,1.08442695164e-05,7.42578594615e-05,0.000159755910698,-1.31407746606e-07,-3.93435719093e-06,-1.38202319446e-06,-4.4569378381e-06,6.97794437472e-06,-1.58260333496e-05,-3.76202866778e-08,-5.96397559972e-07,-5.52979099413e-08,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.81840515428,0.37444617925,77.1824340808,-1.63217518925,-0.278972481078,51.6779287945,-1.60879223547,-0.479096262898,51.8754217118,1.42236597272,0.383924613198,77.0800680896,1,1,1,1
2501000,2500000,-0.000133303557918,0.000173141172286,0.470144608518,2.88390549528e-07,1.41628543342e-06,-3.42333786911e-06,0.999999999993,-5.44270740996e-05,7.20443395336e-05,-4.6676927158e-06,3.09880027633e-06,0.000256548440572,0.000238876851486,-0.0520329296495,-0.0017582993673,-0.130692812167,0.00271768514078,0.20671776921,0.191020424086,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.79633908615,0.357495008283,77.0294558226,-1.69333401699,-0.359308329417,49.1730661818,-1.67237476155,-0.564826561766,48.7732048909,1.40820111113,0.37305534061,76.9365728932,1,1,1,1
5001000,5000000,-0.000133655582546,0.000173314040999,0.470144056204,2.98234972757e-07,2.16372167921e-06,-2.72956416518e-06,0.999999999994,-0.000248421937204,6.55638352221e-05,-0.000489556927481,1.4123623098e-05,0.00102130917393,0.000947786429434,-0.102983272528,-0.00340660956247,-0.256388331114,0.00623526078775,0.403421758422,0.374920500485,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.73435758938,0.329887158537,76.9847503956,-1.75929615716,-0.426506328409,46.7813860696,-1.73995192508,-0.644007976343,45.784597534,1.36763699954,0.353940503846,76.8226904039,1,1,1,1
7501000,7500000,-0.0001346506911,0.000173465679323,0.470141904057,3.2776605445e-07,4.16924342714e-06,-8.6601851752e-07,0.999999999991,-0.000568444995215,5.51087643183e-05,-0.00128245812563,3.49388717706e-05,0.00226531197041,0.00210754562955,-0.152855485575,-0.00493795264112,-0.377102382876,0.0105492962687,0.590111434962,0.551700105486,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.63434310623,0.292329146137,77.0437480066,-1.82986013875,-0.48082212503,44.5011235067,-1.81133052614,-0.716700751817,42.908036405,1.30170098083,0.326971177559,76.737872581,1,1,1,1
10001000,10000000,-0.000136600584914,0.000173586516363,0.470137397614,3.90460973905e-07,8.01625613746e-06,2.71973517428e-06,0.999999999964,-0.00101180092355,4.09715446136e-05,-0.00237091761921,6.75295024807e-05,0.00396352119021,0.00370035312181,-0.201649568788,-0.00635232860326,-0.492834967453,0.0156545596942,0.766786923795,0.72135910577,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.498178079,0.245527487209,77.2018788627,-1.90482449077,-0.522511366256,42.3305135416,-1.88631736482,-0.782965133377,40.1419582675,1.21142039785,0.292538436406,76.6815713838,1,1,1,1
12501000,12500000,-0.000139810227006,0.00017366771227,0.470129813548,5.02269144107e-07,1.42568709137e-05,8.55788115891e-06,0.999999999862,-0.00157579439763,2.34445938991e-05,-0.00374248174024,0.000113865455087,0.00609090159783,0.00570840714632,-0.249365522168,-0.00764973744889,-0.603586084844,0.0215443262408,0.933448425733,0.883897288467,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.32774494996,0.190188697878,77.4545731708,-1.98398774223,-0.551829699064,40.2677912228,-1.96471924118,-0.842861366212,37.4847998852,1.09782259348,0.251033355039,76.6532387718,1,1,1,1
15001000,15000000,-0.000144577842086,0.000173701158239,0.470118459663,6.81591146136e-07,2.341190508e-05,1.71563512227e-05,0.999999999579,-0.00225773009286,2.82032996625e-06,-0.00538469682077,0.000175898336901,0.00862241856854,0.00811390529795,-0.296003345716,-0.00883017917801,-0.709355735049,0.0282107084431,1.09009623064,1.03931434826,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.12492616141,0.127019294268,77.7972611378,-2.06714842213,-0.569032770428,38.3111915991,-2.04634295531,-0.89644969551,34.9349980219,0.96193491058,0.202847008114,76.6523267042,1,1,1,1
17501000,17500000,-0.000151194916551,0.000173679476507,0.4701026749,9.49253940143e-07,3.59708830032e-05,2.9000823826e-05,0.999999998932,-0.00305491268468,-2.06088293938e-05,-0.00728510919283,0.000255558912685,0.011533038326,0.010899044281,-0.341563039431,-0.00989365379061,-0.810143918068,0.0356449708696,1.23673072924,1.18760987627,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.891604155623,0.0567257925044,78.2253729707,-2.15410505949,-0.574376227326,36.4589497191,-2.1309953073,-0.94379036646,32.4909894413,0.804784692023,0.148370470285,76.6782871403,1,1,1,1
20001000,20000000,-0.000159946198486,0.00017359602036,0.470081829331,1.32848331479e-06,5.23920371867e-05,4.45547229593e-05,0.999999997634,-0.00396464684849,-4.65504663897e-05,-0.00943126518846,0.000354755361806,0.0147977282078,0.014046019638,-0.386044603313,-0.0108401612867,-0.905950633902,0.0438378291767,1.37335242349,1.32878335065,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.629661374883,-0.0199852912875,78.7343388764,-2.24465618331,-0.568115716734,34.7093006313,-2.21848309722,-0.984943624251,30.1512109072,0.627399280674,0.087994816205,76.7305720396,1,1,1,1
22501000,22500000,-0.000171109697666,0.000173444874125,0.470055324165,1.84487448819e-06,7.31023096612e-05,6.42592166973e-05,0.999999995262,-0.00498423725972,-7.47121632302e-05,-0.0118107111397,0.000475372263494,0.0183914569548,0.0175370254577,-0.429448037363,-0.0116697016663,-0.996775882551,0.0527797335339,1.49996193562,1.46283412897,0.33,0.15,2.93594058574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,-0.00152862815557,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-0.000150515784123,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,4.9015973777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.340980261474,-0.102407440983,79.3195890618,-2.33860032259,-0.550506885628,33.0604793843,-2.30861312515,-1.01996971407,27.9140991831,0.430806019402,0.0221111205299,76.8086333613,1,1,1,1
