%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,5.04746698524e-11,-1.85873934834e-10,0.469999999987,5.01744397909e-13,2.41817437182e-13,-4.69041143416e-13,1.0,1.79216967388e-11,-6.51798247024e-11,-1.40331139178e-11,7.56806313409e-13,1.74618844189e-12,2.94937512976e-14,1.32642629564e-12,-4.22161887367e-12,-8.15593430865e-13,-6.66031453755e-15,2.23058769709e-13,5.73131815855e-14,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-2.17624606191,-1.86947658748,76.6687909164,2.34757830918,1.88806201394,52.2396233533,2.21713400034,1.37758116896,52.2396231741,-2.38846624755,-1.39616659559,76.6687910562,1,1,1,1
2501000,2500000,5.47339543281e-08,3.53966032116e-08,0.470000032204,-2.58402809291e-08,7.04067827998e-08,-1.29529396442e-10,1.0,6.5496580777e-05,4.26112664809e-05,3.85671217432e-05,-6.19025159278e-05,0.000168571893778,-3.31467544116e-07,0.0521995559345,0.0339485269971,0.030704361705,-0.0493374309233,0.134211431893,-0.000299926822169,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-2.13949332953,-1.83984172437,76.5970896937,2.35758498769,1.90180348022,51.706712733,2.2250628797,1.38633831742,51.5048505374,-2.323833269,-1.35862719549,76.7582219284,1,1,1,1
5001000,5000000,4.35046863738e-07,2.82718191791e-07,0.470000255856,-2.05572124889e-07,5.59214545858e-07,-1.25012152742e-09,1.0,0.000260009325852,0.000169039878127,0.000152775059908,-0.0002457642408,0.000667826752901,-1.67326198478e-06,0.103212945777,0.0670538239844,0.0605126419096,-0.0975673660368,0.264546373862,-0.000808194192626,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-2.03242254314,-1.75350298508,76.3878304721,2.37453664435,1.91405733547,51.2032982025,2.2408004567,1.39409545327,50.8023332496,-2.13571914281,-1.24936760586,77.0180606662,1,1,1,1
7501000,7500000,1.45982288942e-06,9.48686997974e-07,0.470000857246,-6.89913575434e-07,1.87372022535e-06,-4.9504272671e-09,0.999999999998,0.000580572837921,0.000377177694724,0.000340383596707,-0.000548816428468,0.00148807335647,-4.5455726789e-06,0.153040169529,0.0993158909576,0.0894248406128,-0.144689799763,0.39100482797,-0.00152421081889,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-1.85981481881,-1.61430914467,76.0497799209,2.39820443996,1.92484354134,50.7289291873,2.26409620524,1.40086341251,50.1317633757,-1.83280108322,-1.0734257427,77.4356264511,1,1,1,1
10001000,10000000,3.44048217982e-06,2.23494094034e-06,0.470002017075,-1.62612223198e-06,4.40910649256e-06,-1.34677565258e-08,0.999999999989,0.00102422170176,0.000664916641237,0.000599152528387,-0.000968290312024,0.00261962048983,-9.46666269745e-06,0.201681227191,0.130734727917,0.117440957815,-0.190704720093,0.513586798677,-0.00244703279124,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-1.62645127264,-1.42610897823,75.5917047098,2.42835953531,1.93418205949,50.283155113,2.29469959923,1.40665303117,49.4928329804,-1.42375630443,-0.83583952199,77.9982384646,1,1,1,1
12501000,12500000,6.68103134532e-06,4.33784774989e-06,0.470003910442,-3.15799470524e-06,8.54844201148e-06,-2.96856135279e-08,0.999999999958,0.00158799050213,0.00103014864263,0.000926841651196,-0.00150141708424,0.00405277695331,-1.69520307381e-05,0.249136118762,0.161310334862,0.144560993516,-0.235612106433,0.632292293663,-0.00357539821447,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-1.33711302073,-1.19275126081,75.0223715083,2.4647730912,1.94209285158,49.8655254051,2.33236011255,1.41147514527,48.8852341284,-0.91726202066,-0.541646859735,78.6932158883,1,1,1,1
15001000,15000000,1.14780634582e-05,7.44850497003e-06,0.47000670685,-5.42586654338e-06,1.46626814661e-05,-5.71297753406e-08,0.999999999878,0.00226891382383,0.00147076562387,0.00132121076138,-0.00214542787356,0.0057778515713,-2.75136584729e-05,0.295404844243,0.191042711793,0.170784947715,-0.279411927606,0.7471213246,-0.00490776090054,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.996581179162,-0.918084767478,74.350546986,2.5072162684,1.94859587928,49.475589489,2.3768272191,1.41534059083,48.3086588845,-0.321995446137,-0.195885671928,79.5078779039,1,1,1,1
17501000,17500000,1.81207580529e-05,1.17527399566e-05,0.470010570196,-8.5666121195e-06,2.31106656021e-05,-9.99634900623e-08,0.999999999696,0.00306402625161,0.00198465950991,0.00178001965519,-0.00289755371535,0.00778515320311,-4.1659340954e-05,0.340487403633,0.21993185871,0.196112820413,-0.322104140006,0.858073907872,-0.00644232312205,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.609636864032,-0.605958273309,73.5849978123,2.55546022771,1.95371110423,49.1128967904,2.42785039278,1.41826020386,47.7627993135,0.353366204925,0.196406125437,80.4295436928,1,1,1,1
20001000,20000000,2.68908811253e-05,1.74311098777e-05,0.470015658781,-1.27136444733e-05,3.4239121285e-05,-1.62981899102e-07,0.999999999333,0.00397036237025,0.00256972222574,0.00230102812886,-0.0037550255186,0.0100649907556,-5.98920977285e-05,0.384383796933,0.247977775612,0.22054461161,-0.363688685897,0.965150065246,-0.00817706742669,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.181061191432,-0.260220553366,72.7344906568,2.60927612993,1.9574584881,48.7769967348,2.48517910747,1.42024482039,47.2473474801,1.10014571831,0.630190616365,81.4455324366,1,1,1,1
22501000,22500000,3.80627851338e-05,2.46589017142e-05,0.470022125303,-1.79969151004e-05,4.83826615776e-05,-2.51605785044e-07,0.999999998668,0.00498495676453,0.0032238456963,0.00288199597865,-0.0047150740287,0.0126076731974,-8.27096623163e-05,0.427094024142,0.275180462501,0.244080321306,-0.404165491864,1.06834982449,-0.0101097875125,0.33,0.15,-7.85780285551e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,9.89507667102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,4.30519199992e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-7.77606604226e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.284364722546,0.115279617283,71.8077921892,2.66843513584,1.95985799254,48.4674387476,2.54856283709,1.42130527643,46.7619954492,1.90966587979,1.10042988486,82.5431633169,1,1,1,1
