%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_contact0,field.ee_contact1
1000,0,2.75677364464e-15,-3.23520549404e-14,0.6,7.01442740536e-16,3.55105374395e-14,-1.75074102218e-15,1.0,8.84677998292e-14,-1.25141474027e-14,-1.87554492971e-15,9.06827837074e-16,3.67345185891e-14,6.28028838879e-16,1.99774925578e-14,-8.53293514794e-16,6.42688261622e-17,6.18397373658e-17,9.20315723801e-15,1.25740947095e-16,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.66510130805e-13,0.17930995718,98.0665,3.74588272654e-13,-0.17930995718,98.0665,1,1
2501000,2500000,2.45861145707e-07,1.50533195694e-09,0.599999900113,5.02183436366e-08,-2.6754739602e-07,5.44251940685e-08,1.0,0.000294367260381,1.83941781933e-06,-0.000119603754943,0.000120098606883,-0.000640597035608,0.00013024632628,0.234428030663,0.00152430326308,-0.0952666226265,0.0953982471709,-0.510050743148,0.103598456469,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.239252211388,0.181404960118,97.7698912865,0.103988560996,-0.172740828577,98.027483268,1,1
5001000,5000000,1.95356692539e-06,1.27024947777e-08,0.599999206111,3.97493035639e-07,-2.12521133104e-06,4.31660545035e-07,0.999999999998,0.00116681126555,7.8853612909e-06,-0.000474251206504,0.000473589124756,-0.00253811908798,0.000515000249758,0.462461395898,0.00336522051179,-0.188034957297,0.186714062619,-1.00553991447,0.20360656585,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.503592941127,0.184850142724,97.4478739778,0.377369357193,-0.152447362176,97.9560487081,1,1
7501000,7500000,6.54832587452e-06,4.50971889146e-08,0.599997338192,1.32718721308e-06,-7.12139520424e-06,1.44423251394e-06,0.999999999973,0.00260134535202,1.89293653663e-05,-0.00105769663479,0.00105027070402,-0.00565616126384,0.00114529066607,0.684100095706,0.00552275174613,-0.27830500401,0.273952108874,-1.48646665702,0.300028567315,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.792331113287,0.189616363938,97.1011640205,0.812975268691,-0.119002245673,97.8536351937,1,1
10001000,10000000,1.54153798669e-05,1.12173984582e-07,0.599993732168,3.11192166035e-06,-1.67589947294e-05,3.39346165327e-06,0.999999999849,0.00458198285622,3.57629650096e-05,-0.00186369431992,0.00183995759801,-0.00995831591632,0.00201216012671,0.899344130086,0.0079968969661,-0.366076762767,0.357119748478,-1.95282963823,0.39287108451,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.10477565194,0.195674482701,96.730477361,1.40363917559,-0.0729781667615,97.7216815983,1,1
12501000,12500000,2.99000041174e-05,2.29396289406e-07,0.599987839465,6.01159767749e-06,-3.24953937401e-05,6.56948332057e-06,0.999999999432,0.00709273711459,5.91776951848e-05,-0.002885998542,0.002832485488,-0.0154081715546,0.00310667034169,1.10819349904,0.0107876561717,-0.451350233567,0.436226705761,-2.40462712829,0.482142760939,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.44023548115,0.20299535795,96.3365299461,2.14219395799,-0.0149478131357,97.5616267953,1,1
15001000,15000000,5.1307507182e-05,4.1420634842e-07,0.599979127125,1.02734272847e-05,-5.57424587704e-05,1.12512748078e-05,0.99999999833,0.0101176214636,8.99650908562e-05,-0.00411836358113,0.00401771697619,-0.0219693119455,0.00441990678701,1.31064820256,0.0138950293629,-0.534125416411,0.511284739508,-2.84185707527,0.567853908367,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.79801952499,0.211549848626,95.9200377222,3.02147249598,0.0545161275098,97.3749096583,1,1
17501000,17500000,8.09032309578e-05,6.8602524407e-07,0.599967077801,1.61319697263e-05,-8.78665326017e-05,1.7706687816e-05,0.999999995853,0.0136406492396,0.000128916686988,-0.00555454371742,0.00538554627398,-0.0296053153982,0.00594298244936,1.50670824066,0.0173190165398,-0.614402311298,0.582307326417,-3.26451717688,0.650016168221,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.17743670753,0.221308813667,95.481716636,4.03430766968,0.134840967481,97.1629690606,1,1
20001000,20000000,0.000119912550683,1.06625289621e-06,0.599951189765,2.38091732696e-05,-0.000130188426985,2.61924852459e-05,0.999999990899,0.017645833779,0.000176824018543,-0.00718829323099,0.00692590311228,-0.0382797542251,0.00766704074057,1.69637361333,0.0210596177023,-0.692180918229,0.64930935533,-3.67260494883,0.728642186012,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.57779595285,0.232243112014,95.022282634,5.17353235917,0.225454019083,96.9272438758,1,1
22501000,22500000,0.000169520874936,1.57826806211e-06,0.599930976899,3.35144213308e-05,-0.000183983414739,3.6954381314e-05,0.999999981831,0.0221171884184,0.000234478620487,-0.00901336640194,0.00862875590088,-0.0479561943682,0.00958325761437,1.87964432058,0.0251168328504,-0.767461237203,0.712306832267,-4.06611778988,0.803745298753,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.99840618501,0.244323602606,94.5424516628,6.43197944456,0.325782594621,96.6691729772,1,1
25001000,24999999,0.000230873645638,2.24742833644e-06,0.599905968701,4.54445819913e-05,-0.000250481221404,5.02270840411e-05,0.999999966336,0.027038726494,0.000302672027783,-0.0110235175104,0.010484114164,-0.0585981951849,0.011682842918,2.05652036239,0.0294906619842,-0.840243268221,0.771316596311,-4.44505304349,0.87533923539,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.43857632808,0.257521144382,94.0429396689,7.80248180595,0.435254006402,96.3901952384,1,1
27501000,27499999,0.00030507633805,3.10107015129e-06,0.599875710284,5.97840600036e-05,-0.000330866016625,6.62343392015e-05,0.999999941283,0.0323944613425,0.000382195775396,-0.0132125008364,0.0124820302793,-0.0701693093833,0.0139570410112,2.22700173878,0.0341811051036,-0.910527011282,0.826356046447,-4.80940805621,0.943437830245,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.89761530613,0.271806596281,93.524462599,9.27787232343,0.553295566731,96.0917495327,1,1
30001000,29999999,0.000393194460775,4.16850877616e-06,0.599839762375,7.67048504215e-05,-0.000426276405414,8.51889748579e-05,0.999999902574,0.0381684063001,0.000473841398289,-0.0155740706602,0.0146126005474,-0.0826330830993,0.0163971306848,2.39108844974,0.0391881622086,-0.978312466386,0.87744287947,-5.15918023264,1.00805474945,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.37483204323,0.287150817244,92.9877363996,10.8509838771,0.679334587913,95.7752747337,1,1
32501000,32499999,0.000496253555755,5.48103831794e-06,0.599797701314,9.63665930209e-05,-0.000537805419453,0.000107292945646,0.999999844984,0.0443445747033,0.000578400431427,-0.0181019812617,0.0168659656209,-0.0959530561072,0.0189944244121,2.54878049527,0.0445118332993,-1.04359963353,0.924594839111,-5.49436708725,1.06920323038,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.86953546345,0.303524666209,92.4334770173,12.5146493471,0.812798382255,95.4422097147,1,1
35001000,35000000,0.000615239198276,7.07193172097e-06,0.599749119056,0.000118916626716,-0.000666500508538,0.000132737376018,0.999999762008,0.0509069798886,0.000696664409774,-0.0207899869212,0.0192323103195,-0.110092762156,0.0217402669644,2.70007787538,0.0501521183756,-1.10638851273,0.967829476551,-5.8149662928,1.12689583412,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,5.38103449087,0.320899002115,91.8624003987,14.2617016135,0.953114262061,95.0939933493,1,1
37501000,37500000,0.000751096996964,8.97644076696e-06,0.599693623171,0.000144490043207,-0.00081336353231,0.000161702601678,0.999999645707,0.0578396351924,0.000829424868293,-0.0236318419187,0.0217018628618,-0.12501572942,0.024626033425,2.84498059006,0.0561090174375,-1.16667910396,1.00716392249,-6.12097572565,1.18114421088,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,5.90863804955,0.339244683903,91.2752224903,16.0849735563,1.09970953964,94.7320645109,1,1
40001000,40000000,0.000904732593784,1.1231796075e-05,0.599630836844,0.000173209739143,-0.000979350752373,0.000194358208513,0.999999486548,0.065126553951,0.000977473341949,-0.0266213005344,0.0242648935408,-0.140685481067,0.0276431266318,2.98348863931,0.062382530485,-1.22447140724,1.042614671,-6.4123935078,1.23195887845,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,6.45165506356,0.358532570512,90.6726592387,17.9772980558,1.25201152729,94.357862073,1,1
42501000,42500000,0.00107701166404,1.38772071018e-05,0.599560398871,0.000205186466089,-0.00116537282489,0.000230863068324,0.999999273253,0.072751749501,0.00114160136571,-0.0297521170483,0.0269117128753,-0.157065535914,0.030782974083,3.11560202313,0.0689726575182,-1.27976542256,1.07419737526,-6.68921804586,1.2793490136,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,7.00939445697,0.378733520881,90.0554265905,19.9315079919,1.40944753733,93.972824909,1,1
45001000,45000000,0.0012687599164,1.69538621411e-05,0.599481963665,0.000240518877677,-0.00137229479374,0.000271365370738,0.999998992659,0.0806992351788,0.00132260047453,-0.0330180457405,0.0296326692642,-0.174119409189,0.0340370243374,3.24132074153,0.075879398537,-1.33256114993,1.10192665556,-6.95144806683,1.32332225651,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,7.58116515386,0.399818393949,89.4242404923,21.9404362449,1.57144488205,93.5783918923,1,1
47501000,47500000,0.00148076309283,2.05049283245e-05,0.599395201253,0.000279293573289,-0.00160093608436,0.000316002650699,0.99999862957,0.0889530243208,0.00152126220338,-0.0364128408913,0.0324181461779,-0.191810613373,0.037396742942,3.3606447945,0.0831027535415,-1.38285858933,1.12581591954,-7.1990826509,1.36388452821,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,8.16627607829,0.421758048657,88.7798168906,23.9969156947,1.73743087376,93.1760018964,1,1
50001000,50000000,0.00171376696867,2.45755516205e-05,0.599299797276,0.000321585137729,-0.00185207049824,0.000364901811,0.999998166631,0.0974971302634,0.00173837808722,-0.0399302567806,0.0352585589142,-0.210102659121,0.0408536079194,3.47357418204,0.0906427225315,-1.43065774079,1.14587719502,-7.4321212611,1.40103986091,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,8.76403615433,0.444523343942,88.1228717321,26.0937792215,1.90683282478,92.7670937949,1,1
52501000,52500000,0.00196847735259,2.92128568355e-05,0.59919545299,0.00036745617631,-0.00212642620829,0.000418179139337,0.999997584204,0.106315566343,0.00197473966103,-0.0435640476886,0.0381443509538,-0.228959056249,0.0443991048473,3.58010890415,0.0984993055072,-1.47595860428,1.1621209756,-7.65056377005,1.43479024146,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,9.37375430606,0.468085138746,87.4541209632,28.2238597055,2.0790780474,92.353106461,1,1
55001000,55000000,0.00224556008661,3.44659476131e-05,0.599081885264,0.000416957344888,-0.00242468575494,0.000475940319417,0.999996860258,0.115392345896,0.00223113845975,-0.0473079678954,0.0410659899448,-0.248343314795,0.0480247215626,3.68024896084,0.106672502469,-1.51876117982,1.17455607912,-7.85441048367,1.46513546767,0.0,0.2,1.68629589132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-7.7068110072e-15,0.0,0.0,0.0,0.0,0.0,0.0,9.99473945754,0.492414292007,86.7742805306,30.3799900266,2.25359385393,91.9354787684,1,1
