%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_contact0,field.ee_contact1
1000,0,1.08448806182e-14,9.82602870591e-13,0.65,-1.11993654577e-14,-7.51453936054e-14,-2.1432014358e-15,1.0,2.67543854025e-13,3.06065801791e-13,-5.37462095734e-14,-2.77548066935e-14,-1.0995011106e-14,-4.69346432276e-14,7.54752451886e-14,1.23963077567e-14,-3.36411758679e-15,-1.38752984402e-15,2.51815873621e-14,1.95635070669e-15,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.31750524007e-12,4.98161531255,98.0665000005,1.50772777284e-12,-4.98161531255,98.0664999995,1,1
2501000,2500000,3.14257356747e-07,-9.10141294404e-08,0.649999964007,1.54017689917e-08,-3.64898766338e-07,-8.03644503838e-08,1.0,0.000376158434813,-0.00010903258595,-4.31561897164e-05,3.70727809743e-05,-0.000873487517417,-0.000192413794785,0.299406140061,-0.086929190423,-0.0344687610085,0.0298317828747,-0.695159070028,-0.153193615551,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.301801943701,4.87490142153,98.2219306969,0.620470454519,-5.08236210543,95.0796679856,1,1
5001000,5000000,2.49505117935e-06,-7.24408936058e-07,0.64999971276,1.24298401035e-07,-2.89649622993e-06,-6.38306599328e-07,0.999999999996,0.00148942766269,-0.000433161558898,-0.000172062851488,0.00015002452709,-0.00345764072675,-0.000762280540807,0.589688634666,-0.172077109353,-0.068600377687,0.0607020959321,-1.36853260171,-0.301962142613,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.18260563993,4.56351151621,98.6749658701,1.22240330364,-5.17847036694,92.1366051193,1,1
7501000,7500000,8.35664706995e-06,-2.43235793057e-06,0.649999032937,4.23157149888e-07,-9.69908486072e-06,-2.13872760558e-06,0.999999999951,0.00331699857026,-0.000967933739806,-0.000385877124543,0.000341441014808,-0.00769799626599,-0.00169853532438,0.870847483817,-0.255443756791,-0.102394850036,0.0926015316946,-2.02012103138,-0.446303604593,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.60550788637,4.06057324823,99.4057201461,1.80571115468,-5.26994253108,89.2377284749,1,1
10001000,10000000,1.96562878357e-05,-5.73590265945e-06,0.649997713321,1.0116598431e-06,-2.28088786624e-05,-5.03269380747e-06,0.999999999727,0.00583606204389,-0.00170889594994,-0.000683756148057,0.000613877522073,-0.0135400922358,-0.00299010661124,1.14288268751,-0.337029132736,-0.135852178054,0.125515211061,-2.64992509379,-0.586214677963,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.53360548072,3.37921426921,100.394308151,2.37030661494,-5.35678103183,86.3834551268,1,1
12501000,12500000,3.80941934998e-05,-1.11449517224e-05,0.649995544804,1.99265650392e-06,-4.41940154918e-05,-9.75742655352e-06,0.999999998974,0.00902380896995,-0.00265159501058,-0.00106485706121,0.000969845982216,-0.0209294689522,-0.0046259128536,1.40579424575,-0.416833237188,-0.168972361743,0.159423446118,-3.25794582717,-0.721690672551,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,6.92999522067,2.53256223078,101.62084451,2.91610229174,-5.4389883032,83.5742021493,1,1
15001000,15000000,6.53135613011e-05,-1.91582807721e-05,0.649992320386,3.47210391365e-06,-7.57545601959e-05,-1.67362879543e-05,0.999999996985,0.0128574302348,-0.00379157774297,-0.00152833700316,0.001411803768,-0.0298116697101,-0.00659485905404,1.65958215854,-0.494856070148,-0.201755401102,0.194302381395,-3.84418457695,-0.852725516794,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,9.75777390391,1.53374478457,103.065443851,3.44301079239,-5.51656677918,80.8103866169,1,1
17501000,17500000,0.000102900565695,-3.02635325148e-05,0.649987835172,5.55899109515e-06,-0.000119322508626,-2.63787625685e-05,0.999999992518,0.0173141167248,-0.00512439096841,-0.0020733531131,0.0019421440517,-0.0401322415543,-0.0088858332988,1.90424642587,-0.571097631615,-0.23420129613,0.230124613435,-4.40864299789,-0.979311747968,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,12.9800383281,0.395889582195,104.708220797,3.9509447242,-5.58951889375,78.0924256038,1,1
20001000,20000000,0.000152384358351,-4.49372167094e-05,0.649981886376,8.36525364242e-06,-0.000176661792502,-3.90804350469e-05,0.999999983597,0.0223710593262,-0.00664558150814,-0.00269906253021,0.00256318768694,-0.0518367360544,-0.0114877032729,2.13978704774,-0.64555792159,-0.266310046829,0.266859788539,-4.95132305494,-1.10144050738,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,16.559885291,-0.86787572471,106.529289977,4.43981669448,-5.65784708092,75.4207361844,1,1
22501000,22500000,0.000215237068157,-6.36447101684e-05,0.649974273318,1.20056787535e-05,-0.000249468285083,-5.52229637647e-05,0.999999967286,0.0280054489256,-0.00835069618344,-0.00340462239364,0.00327717655736,-0.0648707100791,-0.0143893127691,2.36620402417,-0.718236940071,-0.298081653198,0.304475178592,-5.47222702237,-1.21910154052,0.0,0.2,-8.11457158457e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,3.21838028189e-13,0.0,0.0,0.0,0.0,0.0,0.0,20.4604115903,-2.24442348452,108.508766015,4.90953931054,-5.72155377467,72.795735433,1,1
