%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_contact0
1000,0,-1.14764088723e-14,5.42443492759e-15,0.58,-2.7132092975e-14,-1.46943297649e-13,2.64110114659e-14,1.0,-3.70370676748e-13,2.02569622396e-13,2.76926700877e-13,-1.65324267484e-14,-1.48457271546e-13,1.06138153886e-13,-8.50159603325e-14,4.83308404368e-14,-2.72150183503e-14,-4.90685029846e-15,-4.00108681453e-14,2.10364166047e-15,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,-3.15823830246e-12,1.80104648178e-12,196.133,1
2501000,2500000,9.43139602858e-08,-1.18282670941e-08,0.579999903235,-5.83173766198e-08,-1.00032193476e-07,3.40026291185e-09,1.0,0.000112803734729,-1.41440172326e-05,-0.000115532529959,-0.000139457783597,-0.000239261643165,8.13219884028e-06,0.0896461366772,-0.0112353576365,-0.0914894965771,-0.110760058001,-0.190104885641,0.00646035834234,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0292349828474,-0.00277540693611,196.161160897,1
5001000,5000000,7.47051125648e-07,-9.36279738663e-08,0.579999237588,-4.61500261014e-07,-7.92103842046e-07,2.69180522385e-08,1.0,0.000445246426003,-5.57775064211e-05,-0.000452764844553,-0.000549769420754,-0.000944002299013,3.20743613023e-05,0.17571116494,-0.0219915774027,-0.177359827487,-0.216683070587,-0.372383217403,0.0126477608459,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.114957609593,-0.0109140062231,196.243682665,1
7501000,7500000,2.49611791125e-06,-3.12625488431e-07,0.579997466368,-1.5405580669e-06,-2.64583489555e-06,8.98885513461e-08,0.999999999995,0.000988375302416,-0.000123702622687,-0.000997649029337,-0.00121884217856,-0.00209465565236,7.11420553351e-05,0.258195084788,-0.0322686592986,-0.25761099273,-0.317768931666,-0.546835056897,0.018560393112,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.254194397522,-0.0241343655691,196.377623921,1
10001000,10000000,5.85703881615e-06,-7.33052572638e-07,0.579994088006,-3.61138406736e-06,-6.20638737731e-06,2.10787998293e-07,0.999999999974,0.00173323759293,-0.000216721521355,-0.00173613717014,-0.00213458298387,-0.00367165558514,0.000124645037424,0.337097896221,-0.0420666033242,-0.332242992305,-0.41401747689,-0.713460499269,0.0241954510848,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.443971863926,-0.0421550526839,196.56004328,1
12501000,12500000,1.13229564118e-05,-1.41614637665e-06,0.579988636052,-6.97475491122e-06,-1.19944658268e-05,4.0722498776e-07,0.999999999904,0.00267088052651,-0.00033363635775,-0.00265418135281,-0.00328489829047,-0.00565543625261,0.000191885004841,0.41241959924,-0.0513854094795,-0.401255826213,-0.50542849378,-0.872259667038,0.0295493207004,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.681316526094,-0.0646946352776,196.787999358,1
15001000,15000000,1.93646313421e-05,-2.42014943893e-06,0.579980679176,-1.19163299621e-05,-2.05063176803e-05,6.95929205395e-07,0.999999999719,0.00379235133212,-0.000473249287194,-0.00373773366315,-0.00465769397079,-0.00802643214441,0.000272153786557,0.484160193844,-0.0602250777646,-0.464649494454,-0.592001731311,-1.02323270423,0.0346177492544,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.963254901317,-0.0914716810599,197.058550772,1
17501000,17500000,3.04304423232e-05,-3.80030968626e-06,0.579969821167,-1.87066505172e-05,-3.22137337189e-05,1.09273815389e-06,0.999999999306,0.00508869723872,-0.000634362465014,-0.00497274618702,-0.00624087523102,-0.0107650781313,0.000364731952229,0.552319680034,-0.0685856081793,-0.522423997028,-0.673736908936,-1.1663797708,0.0393960084886,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.28681350688,-0.122204757741,197.368756138,1
20001000,20000000,4.4946386144e-05,-5.60888043375e-06,0.579955700935,-2.76011389345e-05,-4.75640485637e-05,1.6125823778e-06,0.999999998487,0.00655096547528,-0.000815778046532,-0.00634517101024,-0.00802234654792,-0.0138518094982,0.00046888781854,0.616898057809,-0.0764670007237,-0.574579333934,-0.750633725068,-1.30170103732,0.0438790493962,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.64901886008,-0.15661243303,197.715674072,1
22501000,22500000,6.33160776654e-05,-7.89512038478e-06,0.579937992508,-3.88400976945e-05,-6.69801412026e-05,2.26946966831e-06,0.999999997,0.00817020327075,-0.00101629818707,-0.00784096021863,-0.00999001162636,-0.0172670619647,0.000583876832217,0.67789532717,-0.0838692553979,-0.621115505173,-0.822691865016,-1.42919668002,0.0480616487459,0.0,0.0,1.2655243308e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.04689747821,-0.194413274638,198.096363189,1
